x,meanLearnedDirLie,upLearnedDirLie,lowLearnedDirLie,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
0,0.6261709000000001,0.8625745921600942,0.389767207839906,,,,,,
100,2.67702242,4.071747905000342,1.2822969349996582,4.814067785000001,6.2486503724730476,3.3794851975269538,3.2370851249999997,4.305884873598546,2.168285376401453
200,0.87757714,1.4442834963750901,0.31087078362490983,2.44631241,3.4970274678331252,1.3955973521668747,1.586310605,2.2993609775273978,0.873260232472602
300,0.51804741,0.8228171274689013,0.21327769253109857,4.63363955,6.184881319246773,3.082397780753227,3.3188077399999996,4.328488383339247,2.3091270966607524
400,0.7515564299999999,1.4197414830104067,0.08337137698959318,6.27243483,8.503364831011792,4.041504828988208,4.552951625,6.216032704424822,2.889870545575179
500,1.2889515599999999,2.277276405944312,0.30062671405568786,6.991848579999999,9.36919160083284,4.614505559167158,4.3788002299999995,5.6963879567385725,3.0612125032614266
600,1.0514590099999999,1.7683866132608974,0.3345314067391023,7.764864159999999,10.292318310010076,5.237410009989922,4.62910319,5.965497499898699,3.292708880101302
700,1.67989217,3.180969818572497,0.17881452142750276,6.94120142,8.816614982547922,5.065787857452078,3.752632815,4.87052746904659,2.63473816095341
800,1.18860977,1.8819742594701105,0.4952452805298895,7.16347856,9.237263940070411,5.089693179929588,3.859190165,5.143830542446773,2.5745497875532264
900,1.5974737300000001,2.5187905575881855,0.6761569024118146,7.68674016,10.479915868580754,4.893564451419247,4.832885845,6.90471875245419,2.761052937545809
1000,1.49134777,2.310264069301928,0.6724314706980723,7.831672180000001,10.734306382724483,4.929037977275519,4.934180845,7.010079640416475,2.858282049583526
1100,2.00204464,3.079391976495314,0.9246973035046857,6.616606454999999,8.797182012866767,4.436030897133231,4.491440435,6.130926749815932,2.851954120184069
1200,1.97555622,3.0285938314895224,0.9225186085104777,6.608274235,8.626215469961398,4.5903330000386005,4.288822554999999,5.97320291669536,2.6044421933046387
1300,1.83312612,3.004857831448291,0.6613944085517092,7.19558135,9.522785357253138,4.868377342746863,4.458498735,6.205333875497325,2.7116635945026752
1400,1.53943136,2.611528161703938,0.46733455829606196,5.84957742,7.820550121263168,3.878604718736832,3.6361089250000003,5.026941153608242,2.245276696391759
1500,1.48655055,2.2778478939971345,0.6952532060028656,5.84843283,7.828457732383008,3.868407927616993,3.7714662349999997,5.316714486281135,2.2262179837188647
1600,0.99189701,1.6100402786969479,0.37375374130305217,5.99014217,8.342928623690536,3.6373557163094636,3.51651278,5.2687213161432105,1.7643042438567895
1700,1.18420916,1.895292672644109,0.4731256473558909,7.717327245,10.966103147958126,4.4685513420418745,4.08152021,6.11165253200282,2.0513878879971803
1800,1.29587681,1.9742368291907342,0.6175167908092658,6.38753523,9.16378477367764,3.61128568632236,4.52002709,6.942793579982711,2.097260600017289
1900,2.57061728,4.240210118891966,0.9010244411080341,7.23372264,9.879135781246516,4.588309498753484,4.408191115,6.305763971061949,2.5106182589380515
2000,,,,7.32326726,10.299214215187604,4.347320304812396,4.816390245,7.251514635518236,2.3812658544817644
