x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanInterferenceAmplifyfalsealarm,upInterferenceAmplifyfalsealarm,lowInterferenceAmplifyfalsealarm,meanInterferenceLiehide,upInterferenceLiehide,lowInterferenceLiehide,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
10,2.0252467629999997,2.3283078571769003,1.7221856688230992,2.0252467629999997,2.3283078571769003,1.7221856688230992,2.0252467629999997,2.3283078571769003,1.7221856688230992,1.3457966105,1.5551403821225167,1.1364528388774835,1.458330841,1.6790623526626873,1.2375993293373126
110,9.9348835035,10.888622302342574,8.981144704657426,9.9348835035,10.888622302342574,8.981144704657426,9.9348835035,10.888622302342574,8.981144704657426,6.9471400815,7.700702655236519,6.1935775077634805,5.878484543,6.549804270790615,5.207164815209385
210,5.106294182,5.605442734378986,4.607145629621014,5.113953466,5.617359051696531,4.610547880303469,5.1233990775,5.620589308251537,4.626208846748463,3.700891662,4.0693819361946995,3.3324013878053007,2.570105483,2.865213062790571,2.2749979032094285
310,7.3476875165,8.034612248778402,6.660762784221598,7.3301151885,8.011804787006977,6.648425589993023,7.2710333185,7.96118779205245,6.5808788449475495,5.920008939000001,6.489962845631935,5.350055032368066,3.460649199,3.848281159477839,3.0730172385221612
410,8.795439251,9.646927079027279,7.943951422972721,8.850121802,9.704103013029838,7.996140590970162,8.7615928,9.5980230065881,7.925162593411901,7.9048858725,8.666774009458031,7.142997735541971,4.430327684,4.967580192374751,3.893075175625249
510,9.845903119,10.708079257388833,8.983726980611168,9.8868156205,10.745080121828927,9.028551119171073,9.9180555545,10.77595312582382,9.06015798317618,9.1258910845,9.920927461642746,8.330854707357252,5.1248418855,5.704945047050007,4.544738723949994
610,10.336427600999999,11.264350424446901,9.408504777553096,10.2459750795,11.157495465066386,9.334454693933615,10.249243212,11.165879186214363,9.332607237785636,10.150651145,11.039069458308461,9.262232831691538,5.349451268,5.936677109165231,4.762225426834769
710,11.1698506825,12.154521335514227,10.185180029485773,11.0600272225,12.039023821488582,10.081030623511419,11.118535460999999,12.113509766670678,10.12356115532932,10.9468240095,11.934927289227439,9.958720729772562,5.9124665895,6.591825465585331,5.233107713414669
810,11.372151234,12.4232427617885,10.3210597062115,11.342882623,12.378712959188254,10.307052286811745,11.314570620500001,12.364419206543971,10.264722034456032,11.2108722755,12.225028602947724,10.196715948052276,5.97694079,6.7274972461014775,5.226384333898522
910,11.554806745,12.56266356802221,10.546949921977792,11.5603563925,12.573691281502214,10.547021503497785,11.458045311,12.473621880978994,10.442468741021004,11.312331003499999,12.30683151707031,10.317830489929687,6.150400244499999,6.842221333345345,5.458579155654653
1010,11.861647089,12.904724136304026,10.818570041695974,11.8436483665,12.888392024736465,10.798904708263535,11.645949624500002,12.685961528358696,10.605937720641307,11.575066407,12.618960964826499,10.5311718491735,6.127827134,6.791267784819457,5.464386483180544
1110,11.790977591999999,12.873762391860975,10.708192792139023,11.879596965000001,12.965301844264497,10.793892085735505,11.920289937,13.024621508235917,10.815958365764082,11.827874516,12.920443233934144,10.735305798065855,6.4073724165,7.13670143883502,5.67804339416498
1210,12.1181979255,13.218345019983605,11.018050831016396,12.193172094,13.284911867202648,11.10143232079735,12.053021287,13.145962274334892,10.960080299665108,12.0680195995,13.147771022794593,10.988268176205406,6.5407844635000005,7.30300803747309,5.778560889526911
1310,12.7343990655,13.842257917262913,11.626540213737087,12.853115564,13.954527857938274,11.751703270061725,12.6901477775,13.783724369072793,11.596571185927207,12.9093146825,14.047494576741713,11.771134788258287,6.917373055,7.6888376820299715,6.145908427970028
1410,12.755758116,13.891937626943413,11.619578605056589,12.766952518,13.892685085004288,11.641219950995712,12.738427565,13.87067076916518,11.60618436083482,12.685352780499999,13.78986488599248,11.580840675007517,6.9142997425,7.683824097011283,6.144775387988717
1510,12.6374894465,13.729045149708664,11.545933743291336,12.708754296499999,13.799316515425227,11.61819207757477,12.657282013,13.7608208274371,11.5537431985629,12.4969896155,13.573282447503106,11.420696783496895,6.851420061,7.606420127791314,6.096419994208685
1610,12.425743748999999,13.54875954699794,11.302727951002057,12.443998447,13.557558171364702,11.330438722635298,12.3656232275,13.493321755276257,11.237924699723743,12.364054028,13.466572376367843,11.261535679632157,6.513877497499999,7.246398416689739,5.78135657831026
1710,12.399358808,13.514715891566293,11.284001724433708,12.662780466000001,13.776554200967613,11.549006731032389,12.22809548,13.335835423905973,11.120355536094028,11.918129699,12.957576535215948,10.878682862784052,6.3090581705,7.000480930810777,5.617635410189223
1810,12.6087230135,13.75366058951215,11.463785437487852,12.8680284985,14.020818611755915,11.715238385244083,12.505879582,13.630199134862275,11.381560029137725,12.245630522499999,13.343068238458642,11.148192806541356,6.533656037,7.277577692893038,5.789734381106962
1910,13.207028701499999,14.43142313361355,11.982634269386448,13.3814945345,14.613847561607132,12.149141507392867,13.333440786499999,14.565835019952008,12.10104655304799,13.0343958915,14.196718575362876,11.872073207637126,7.2576846139999995,8.099932940560942,6.415436287439057
2000,13.445508444,14.626222864920596,12.264794023079403,13.596302678,14.785548822844099,12.407056533155902,13.408911329,14.585333643198432,12.232489014801569,13.3592497545,14.504558506559222,12.213941002440778,7.2314519965,8.08868596855067,6.374218024449329
