x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanGreyhole,upGreyhole,lowGreyhole,meanSinkhole,upSinkhole,lowSinkhole,meanSelectiveJam,upSelectiveJam,lowSelectiveJam,meanPosSpoofing,upPosSpoofing,lowPosSpoofing,meanAllAttacks,upAllAttacks,lowAllAttacks
1,571571.1333333333,1353674.3053922914,-210532.0387256248,562682.6166666667,1345037.3821912059,-219672.14885787235,568485.85,1350632.3925313104,-213660.6925313105,513979.06666666665,1296546.2982761906,-268588.1649428572,571571.1333333333,1353674.3053922914,-210532.0387256248,513979.06666666665,1296546.2982761906,-268588.1649428572
2,482850.6666666667,1155385.2614025099,-189683.92806917656,474252.95,1146942.7429095695,-198436.84290956956,483309.4166666667,1155847.595445632,-189228.7621122987,465655.23333333334,1138922.1058438679,-207611.63917720126,482850.6666666667,1155385.2614025099,-189683.92806917656,465655.23333333334,1138922.1058438679,-207611.63917720126
3,479326.3,1262592.949024886,-303940.349024886,470516.9,1253900.4936676295,-312866.6936676296,476258.13333333336,1259522.3179524322,-307006.05128576554,461707.5,1245588.4380103853,-322173.43801038514,479326.3,1262592.949024886,-303940.349024886,461707.5,1245588.4380103853,-322173.43801038514
4,757153.8333333334,1678540.2796860733,-164232.61301940645,747940.3166666667,1669774.3014970962,-173893.6681637629,758292.3333333334,1679648.0337186842,-163063.3670520176,738726.8,1661361.6280706464,-183908.02807064634,757153.8333333334,1678540.2796860733,-164232.61301940645,738726.8,1661361.6280706464,-183908.02807064634
5,503710.2,1224970.766823694,-217550.36682369414,503710.2,1224970.766823694,-217550.36682369414,503710.2,1224970.766823694,-217550.36682369414,503710.2,1224970.766823694,-217550.36682369414,503710.2,1224970.766823694,-217550.36682369414,503710.2,1224970.766823694,-217550.36682369414
6,349540.5333333333,790622.4599162422,-91541.39324957546,349540.5333333333,790622.4599162422,-91541.39324957546,349540.5333333333,790622.4599162422,-91541.39324957546,349540.5333333333,790622.4599162422,-91541.39324957546,349540.5333333333,790622.4599162422,-91541.39324957546,349540.5333333333,790622.4599162422,-91541.39324957546
7,318483.0333333333,727307.308221005,-90341.24155433837,318483.0333333333,727307.308221005,-90341.24155433837,318483.0333333333,727307.308221005,-90341.24155433837,318483.0333333333,727307.308221005,-90341.24155433837,318483.0333333333,727307.308221005,-90341.24155433837,318483.0333333333,727307.308221005,-90341.24155433837
8,351656.13333333336,741720.5164731117,-38408.249806444976,343181.5833333333,733148.285913022,-46785.11924635543,356020.5333333333,746411.0100588234,-34369.94339215674,334707.0333333333,725283.0531905217,-55868.98652385501,351656.13333333336,741720.5164731117,-38408.249806444976,334707.0333333333,725283.0531905217,-55868.98652385501
9,404020.5333333333,1007219.9319682624,-199178.86530159577,404020.5333333333,1007219.9319682624,-199178.86530159577,404020.5333333333,1007219.9319682624,-199178.86530159577,404020.5333333333,1007219.9319682624,-199178.86530159577,404020.5333333333,1007219.9319682624,-199178.86530159577,404020.5333333333,1007219.9319682624,-199178.86530159577
10,501017.2,1176050.2451493985,-174015.8451493985,491242.5,1166383.4701381992,-183898.47013819928,501602.88333333336,1176646.7273600546,-173440.96069338784,481467.8,1157260.0288509624,-194324.4288509625,501017.2,1176050.2451493985,-174015.8451493985,481467.8,1157260.0288509624,-194324.4288509625
11,344456.8,879371.5052178365,-190457.90521783644,344456.8,879371.5052178365,-190457.90521783644,344456.8,879371.5052178365,-190457.90521783644,344456.8,879371.5052178365,-190457.90521783644,344456.8,879371.5052178365,-190457.90521783644,344456.8,879371.5052178365,-190457.90521783644
12,327300.4,854562.260911281,-199961.46091128094,327300.4,854562.260911281,-199961.46091128094,327300.4,854562.260911281,-199961.46091128094,327300.4,854562.260911281,-199961.46091128094,327300.4,854562.260911281,-199961.46091128094,327300.4,854562.260911281,-199961.46091128094
13,67522.33333333333,142009.1537463671,-6964.487079700455,67522.33333333333,142009.1537463671,-6964.487079700455,67522.33333333333,142009.1537463671,-6964.487079700455,47523.6,112820.16336271248,-17772.963362712493,67522.33333333333,142009.1537463671,-6964.487079700455,47523.6,112820.16336271248,-17772.963362712493
14,62949.36666666667,131808.00867652104,-5909.275343187706,62949.36666666667,131808.00867652104,-5909.275343187706,62949.36666666667,131808.00867652104,-5909.275343187706,42864.96666666667,101345.43843018141,-15615.505096848072,62949.36666666667,131808.00867652104,-5909.275343187706,42864.96666666667,101345.43843018141,-15615.505096848072
15,83284.86666666667,178345.41033235687,-11775.676999023533,83284.86666666667,178345.41033235687,-11775.676999023533,83284.86666666667,178345.41033235687,-11775.676999023533,83284.86666666667,178345.41033235687,-11775.676999023533,83284.86666666667,178345.41033235687,-11775.676999023533,83284.86666666667,178345.41033235687,-11775.676999023533
16,66290.83333333333,140176.97314639555,-7595.306479728897,66290.83333333333,140176.97314639555,-7595.306479728897,66290.83333333333,140176.97314639555,-7595.306479728897,66290.83333333333,140176.97314639555,-7595.306479728897,66290.83333333333,140176.97314639555,-7595.306479728897,66290.83333333333,140176.97314639555,-7595.306479728897
17,61020.23333333333,149164.11768792942,-27123.651021262755,61020.23333333333,149164.11768792942,-27123.651021262755,61020.23333333333,149164.11768792942,-27123.651021262755,40935.833333333336,121170.06666666665,-39298.39999999999,61020.23333333333,149164.11768792942,-27123.651021262755,40935.833333333336,121170.06666666665,-39298.39999999999
18,69090.63333333333,171788.89802593464,-33607.631359267965,69090.63333333333,171788.89802593464,-33607.631359267965,89568.2,198117.71962554238,-18981.319625542383,69090.63333333333,171788.89802593464,-33607.631359267965,69090.63333333333,171788.89802593464,-33607.631359267965,69090.63333333333,171788.89802593464,-33607.631359267965
19,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276,55035.166666666664,131839.8953437396,-21769.562010406276
20,145360.46666666667,365463.02349567733,-74742.09016234399,145360.46666666667,365463.02349567733,-74742.09016234399,145360.46666666667,365463.02349567733,-74742.09016234399,145360.46666666667,365463.02349567733,-74742.09016234399,145360.46666666667,365463.02349567733,-74742.09016234399,145360.46666666667,365463.02349567733,-74742.09016234399
21,144978.26666666666,357850.3063506483,-67893.77301731496,144978.26666666666,357850.3063506483,-67893.77301731496,144978.26666666666,357850.3063506483,-67893.77301731496,144978.26666666666,357850.3063506483,-67893.77301731496,144978.26666666666,357850.3063506483,-67893.77301731496,144978.26666666666,357850.3063506483,-67893.77301731496
22,120239.0,295476.50647542294,-54998.50647542294,120239.0,295476.50647542294,-54998.50647542294,120239.0,295476.50647542294,-54998.50647542294,120239.0,295476.50647542294,-54998.50647542294,120239.0,295476.50647542294,-54998.50647542294,120239.0,295476.50647542294,-54998.50647542294
