x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanobsall,upobsall,lowobsall,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
200,3763124.89,5738679.40741861,1787570.3725813907,1929527.16,3041056.1866388908,817998.1333611088,3279443.36,4984980.2846826315,1573906.4353173682,3792045.53,5766818.609323178,1817272.450676821,3763124.89,5738679.40741861,1787570.3725813907,3460139.31,5326991.528789146,1593287.0912108542,2043121.29,3318627.527110414,767615.052889586
210,4220126.28,6415481.447593942,2024771.1124060578,1691019.12,2630291.931826527,751746.3081734728,3869742.38,5797759.472743578,1941725.2872564213,4205829.34,6399854.941369074,2011803.7386309253,4125965.12,6321698.388698738,1930231.8513012622,3300963.87,5169206.245439695,1432721.4945603053,1817719.25,2937909.2917018393,697529.2082981609
220,4888968.76,7229431.937759884,2548505.5822401163,2847428.2,4250752.764802539,1444103.6351974613,4879115.63,7159182.721003713,2599048.538996286,4937509.52,7288089.486765361,2586929.5532346377,4902376.42,7241758.382095326,2562994.4579046736,4262843.92,6478579.672639518,2047108.1673604818,2319787.64,3718237.198335292,921338.0816647084
230,4989869.01,7113470.766696792,2866267.2533032075,2857187.58,4281886.199341858,1432488.9606581419,5272059.09,7399310.832539741,3144807.347460259,4938872.03,7041027.397651052,2836716.662348949,5032873.98,7161244.712511733,2904503.247488268,4864312.06,7254168.250533041,2474455.869466958,2420316.8,3736548.894976243,1104084.7050237567
240,6028640.78,8660075.612295967,3397205.947704034,3207378.57,4675877.343060809,1738879.7969391905,6277006.62,8816367.337112544,3737645.902887456,5813501.03,8372593.829260927,3254408.230739074,6037284.15,8675675.425110396,3398892.8748896057,5427081.79,8032957.212969735,2821206.3670302653,2420101.44,3721478.1580957016,1118724.7219042985
250,5911827.95,8358358.322650937,3465297.5773490625,3564996.82,5149901.054527642,1980092.5854723572,5779017.94,8224277.940304929,3333757.939695072,5604234.5,7877799.521766326,3330669.4782336736,5913592.57,8375443.790891051,3451741.349108949,5017851.85,7437765.654878244,2597938.0451217555,2424272.6,3731282.705150259,1117262.494849741
260,6636467.08,9466368.25887559,3806565.9011244113,3189132.73,4487508.051507555,1890757.4084924445,6240375.34,8725319.48803857,3755431.1919614305,6395640.37,9161896.819725826,3629383.9202741743,6729669.22,9573388.156944158,3885950.2830558415,5528127.32,8036778.2963004,3019476.3436996005,2235892.68,3348948.6948937275,1122836.6651062728
270,5854255.78,8415427.368776795,3293084.1912232055,3126648.82,4455231.849192049,1798065.7908079508,6181218.48,8636367.695649162,3726069.264350838,5502461.33,7980985.301846635,3023937.3581533656,5749633.39,8319520.83401883,3179745.9459811696,5014219.98,7165678.438266499,2862761.5217335024,2441563.95,3599647.8492275653,1283480.050772435
280,6662513.31,9986899.90554998,3338126.7144500194,3644380.45,5260419.987642275,2028340.9123577252,6679488.13,9795087.567417264,3563888.692582736,6412044.79,9670081.447239814,3154008.1327601853,6480352.52,9771772.216115255,3188932.8238847433,5173779.34,7373238.008026912,2974320.671973088,3503143.66,5179993.3870754065,1826293.9329245936
290,7946952.18,11678108.163653897,4215796.196346102,4245535.4,6043568.257697634,2447502.5423023663,7768442.38,11258917.94375265,4277966.81624735,7669674.15,11254391.877261907,4084956.422738095,7721699.13,11332356.59329724,4111041.6667027595,5628142.78,7928598.670173643,3327686.889826358,4085465.32,5900581.765296085,2270348.874703915
