x,meanLearnedDirLie,upLearnedDirLie,lowLearnedDirLie,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
0,0.6881822400000001,1.2789077383614755,0.09745674163852458,,,,,,
100,2.15383748,4.401927342942965,-0.09425238294296534,4.814067785000001,6.2486503724730476,3.3794851975269538,3.2370851249999997,4.305884873598546,2.168285376401453
200,0.28070139,0.5422004772255017,0.019202302774498303,2.44631241,3.4970274678331252,1.3955973521668747,1.586310605,2.2993609775273978,0.873260232472602
300,0.37918383999999994,0.9606812265252108,-0.20231354652521094,4.63363955,6.184881319246773,3.082397780753227,3.3188077399999996,4.328488383339247,2.3091270966607524
400,0.19198864999999998,0.3521824057522814,0.031794894247718586,6.27243483,8.503364831011792,4.041504828988208,4.552951625,6.216032704424822,2.889870545575179
500,0.09275915,0.17316326242603536,0.012355037573964653,6.991848579999999,9.36919160083284,4.614505559167158,4.3788002299999995,5.6963879567385725,3.0612125032614266
600,0.06469743,0.12061536553206066,0.008779494467939339,7.764864159999999,10.292318310010076,5.237410009989922,4.62910319,5.965497499898699,3.292708880101302
700,0.46271672,0.880465438359236,0.04496800164076409,6.94120142,8.816614982547922,5.065787857452078,3.752632815,4.87052746904659,2.63473816095341
800,0.29330034,0.593456506321248,-0.006855826321247982,7.16347856,9.237263940070411,5.089693179929588,3.859190165,5.143830542446773,2.5745497875532264
900,0.32969763999999996,0.6472026829588924,0.012192597041107478,7.68674016,10.479915868580754,4.893564451419247,4.832885845,6.90471875245419,2.761052937545809
1000,0.49385884,0.9178271595149445,0.06989052048505551,7.831672180000001,10.734306382724483,4.929037977275519,4.934180845,7.010079640416475,2.858282049583526
1100,0.61282872,1.2378389827649374,-0.012181542764937436,6.616606454999999,8.797182012866767,4.436030897133231,4.491440435,6.130926749815932,2.851954120184069
1200,0.46139063999999996,0.877501442276315,0.045279837723684935,6.608274235,8.626215469961398,4.5903330000386005,4.288822554999999,5.97320291669536,2.6044421933046387
1300,0.28460388999999997,0.5122038406995026,0.057003939300497325,7.19558135,9.522785357253138,4.868377342746863,4.458498735,6.205333875497325,2.7116635945026752
1400,0.10879026,0.21360487360466116,0.003975646395338844,5.84957742,7.820550121263168,3.878604718736832,3.6361089250000003,5.026941153608242,2.245276696391759
1500,0.18480359,0.33445239874878807,0.03515478125121188,5.84843283,7.828457732383008,3.868407927616993,3.7714662349999997,5.316714486281135,2.2262179837188647
1600,0.36020456,0.6918680814455507,0.02854103855444934,5.99014217,8.342928623690536,3.6373557163094636,3.51651278,5.2687213161432105,1.7643042438567895
1700,0.20658301,0.37856583468706434,0.03460018531293568,7.717327245,10.966103147958126,4.4685513420418745,4.08152021,6.11165253200282,2.0513878879971803
1800,0.23387325,0.47264588480747305,-0.004899384807473067,6.38753523,9.16378477367764,3.61128568632236,4.52002709,6.942793579982711,2.097260600017289
1900,0.33169016,0.6824613753586439,-0.019081055358643906,7.23372264,9.879135781246516,4.588309498753484,4.408191115,6.305763971061949,2.5106182589380515
2000,,,,7.32326726,10.299214215187604,4.347320304812396,4.816390245,7.251514635518236,2.3812658544817644
