x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
10,4.576208495,5.74395659912825,3.408460390871751,2.3985218875000003,2.994313277969942,1.8027304970300584
110,21.675013235,24.879567072458084,18.47045939754192,13.265207835000002,15.711911101112685,10.818504568887318
210,10.4244824375,11.858175904022309,8.990788970977691,5.6117613325,6.638614637108969,4.584908027891032
310,14.4835133325,16.920900738215316,12.046125926784681,6.1695013625,7.320015502074216,5.018987222925785
410,16.638177465000002,19.460858620801993,13.81549630919801,8.311356325,10.065355557266217,6.557357092733784
510,16.54009011,19.487432882500237,13.592747337499766,8.5171436475,10.545589377659933,6.4886979173400645
610,18.563159102500002,21.543437912807043,15.58288029219296,9.560057480000001,11.562481649673625,7.557633310326376
710,17.13855649,19.98097125784203,14.29614172215797,8.903780040000001,10.860100733482467,6.947459346517535
810,17.93378438,20.633412000562238,15.234156759437758,9.724142562499999,11.645517202853512,7.802767922146486
910,20.7287620325,23.938548601998757,17.518975463001244,10.94943526,13.179253496142117,8.719617023857882
1010,20.055873837500002,23.188124310854093,16.92362336414591,10.843813829999998,13.089964839537995,8.597662820462002
1110,22.004805955000002,25.608203200544473,18.40140870945553,12.2674615975,14.759933740819076,9.774989454180925
1210,21.9608048825,25.467853492692445,18.453756272307555,12.6467100175,15.179236826581224,10.114183208418776
1310,22.248704132500002,25.802188149233015,18.69522011576699,12.2802985375,14.774501821852901,9.7860952531471
1410,19.9100529725,23.186226499689415,16.633879445310587,11.041308307500001,13.363918050493035,8.718698564506967
1510,20.1295239825,23.280796588859584,16.978251376140417,11.7358438925,14.310955718436624,9.160732066563376
1610,19.9923568425,23.21690908388105,16.767804601118954,10.9528273875,13.304741273276527,8.600913501723472
1710,20.206527105,23.499361251139472,16.913692958860526,10.947945715000001,13.267935963200891,8.627955466799111
1810,20.0567997725,23.230762055899717,16.882837489100282,10.862561470000001,12.952812532666371,8.77231040733363
1910,20.82887292,24.114779693769254,17.542966146230743,12.38881389,14.950888066087686,9.826739713912314
2000,21.851555012499997,25.347883024217346,18.355227000782648,13.519367095,16.227752045012384,10.810982144987614
