x,meanLearnedDirLie,upLearnedDirLie,lowLearnedDirLie,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
0,0.881311348,1.1824015121730382,0.5802211838269618,,,,,,
100,8.316428508,9.86005716178415,6.772799854215849,6.026144573,6.960981074972064,5.091308071027935,5.558797328,6.473495488301243,4.644099167698757
200,3.322322302,3.955782611178018,2.6888619928219817,3.2416070599999998,3.7604166389806757,2.722797481019324,2.7236276,3.1809682154391816,2.2662869845608182
300,5.624585322,6.8014818718526495,4.44768877214735,4.159098768,4.836573730146359,3.48162380585364,3.677104366,4.352081850315924,3.002126881684076
400,7.190025536,8.669619008838195,5.7104320631618055,5.395028053,6.247188332283262,4.542867773716738,4.661968363,5.495463972173152,3.8284727538268473
500,8.060745892,9.623931586284202,6.497560197715798,5.0294256740000005,5.813050610198596,4.245800737801405,4.409942122,5.193315448868518,3.626568795131483
600,9.187055972,10.948633049546594,7.4254788944534065,5.813466287,6.781052529388372,4.8458800446116275,4.981320958,5.879420898988527,4.083221017011474
700,9.729401742,11.414895294479397,8.043908189520604,6.368329028,7.519475777445644,5.217182278554356,5.907903719,7.121347405860692,4.694460032139308
800,9.437618336,11.203323018471835,7.671913653528166,6.6239841980000005,7.741836863980042,5.506131532019959,5.741158137,6.891269509978909,4.591046764021091
900,10.105587184,12.190198996124112,8.020975371875886,7.321863495,8.40644935122583,6.237277638774169,6.207354607999999,7.2573811583676555,5.157328057632343
1000,11.140184454,13.405949300528155,8.874419607471845,6.868589377999999,8.004350173170845,5.7328285828291525,5.905924089,6.934196523661461,4.877651654338539
1100,11.230946708,13.36663936265964,9.095254053340359,7.29977166,8.53576665010129,6.063776669898709,5.97083202,7.042351458559836,4.899312581440163
1200,11.227539673999999,13.432749424055961,9.022329923944037,6.650019358,7.766678130819464,5.533360585180535,5.525204758,6.519300231039494,4.531109284960507
1300,10.761218269999999,12.748413225173591,8.774023314826406,7.1337875,8.292672219594722,5.974902780405278,5.735135948,6.772487817629445,4.697784078370555
1400,10.799854902,12.79635426131064,8.80335554268936,6.574897437,7.659626158154805,5.490168715845194,5.421889976,6.4079569646222625,4.435822987377738
1500,10.382741994,12.476119188184931,8.289364799815068,6.332153934,7.364944415514815,5.299363452485185,5.122792863,6.063901299708653,4.181684426291347
1600,10.62517218,12.642039039829262,8.608305320170738,5.854291227,6.805828847761468,4.902753606238532,4.519302858,5.3426107239954845,3.695994992004515
1700,11.319890464,13.837072545607553,8.802708382392447,6.004219034,6.946277109292651,5.0621609587073495,4.680773637000001,5.512316076180766,3.8492311978192353
1800,10.419543924,12.48247398204153,8.356613865958469,6.158171322,7.264220625559164,5.052122018440836,5.235917174,6.2845531444478056,4.187281203552194
1900,10.516787965999999,12.705727686595916,8.327848245404082,6.80507712,8.023530604240385,5.586623635759615,5.427427757999999,6.497557457543195,4.357298058456804
2000,,,,6.8542677030000005,8.0330731247056,5.675462281294401,5.3987556670000005,6.430688455794101,4.3668228782059
