x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceAmplifyfalsealarm,upInterferenceAmplifyfalsealarm,lowInterferenceAmplifyfalsealarm,meanInterferenceLiehide,upInterferenceLiehide,lowInterferenceLiehide,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
10,2.0252467629999997,2.3283078571769003,1.7221856688230992,2.019548753,2.325340081579169,1.7137574244208313,2.1142457284031413,2.4842465663121045,1.744244890494178,2.0252467629999997,2.3283078571769003,1.7221856688230992,2.0252467629999997,2.3283078571769003,1.7221856688230992,1.3457966105,1.5551403821225167,1.1364528388774835,1.458330841,1.6790623526626873,1.2375993293373126
110,9.9348835035,10.888622302342574,8.981144704657426,10.034002622500001,10.980742885488759,9.087262359511243,9.431419229712041,10.436703066257536,8.426135393166547,9.9348835035,10.888622302342574,8.981144704657426,9.9348835035,10.888622302342574,8.981144704657426,6.9471400815,7.700702655236519,6.1935775077634805,5.878484543,6.549804270790615,5.207164815209385
210,5.106294182,5.605442734378986,4.607145629621014,5.0057101095,5.494127930188328,4.517292288811672,5.055852696989529,5.588175706486815,4.523529687492243,5.113953466,5.617359051696531,4.610547880303469,5.1233990775,5.620589308251537,4.626208846748463,3.700891662,4.0693819361946995,3.3324013878053007,2.570105483,2.865213062790571,2.2749979032094285
310,7.3476875165,8.034612248778402,6.660762784221598,7.195770629,7.860741989175921,6.5307992688240795,7.138711448298429,7.883931536686048,6.3934913599108105,7.3301151885,8.011804787006977,6.648425589993023,7.2710333185,7.96118779205245,6.5808788449475495,5.920008939000001,6.489962845631935,5.350055032368066,3.460649199,3.848281159477839,3.0730172385221612
410,8.795439251,9.646927079027279,7.943951422972721,8.902867001,9.755552227447417,8.050181774552584,8.863548011780106,9.833947236867726,7.8931487866924845,8.850121802,9.704103013029838,7.996140590970162,8.7615928,9.5980230065881,7.925162593411901,7.9048858725,8.666774009458031,7.142997735541971,4.430327684,4.967580192374751,3.893075175625249
510,9.845903119,10.708079257388833,8.983726980611168,9.812424318,10.659270412800836,8.965578223199163,9.84664067277487,10.813555079710802,8.879726265838936,9.8868156205,10.745080121828927,9.028551119171073,9.9180555545,10.77595312582382,9.06015798317618,9.1258910845,9.920927461642746,8.330854707357252,5.1248418855,5.704945047050007,4.544738723949994
610,10.336427600999999,11.264350424446901,9.408504777553096,10.397322947000001,11.307002067163106,9.487643826836896,10.422731458769633,11.463328560114656,9.38213435742461,10.2459750795,11.157495465066386,9.334454693933615,10.249243212,11.165879186214363,9.332607237785636,10.150651145,11.039069458308461,9.262232831691538,5.349451268,5.936677109165231,4.762225426834769
710,11.1698506825,12.154521335514227,10.185180029485773,11.146638677999999,12.137014877913492,10.156262478086505,11.099829168193718,12.199072642202466,10.00058569418497,11.0600272225,12.039023821488582,10.081030623511419,11.118535460999999,12.113509766670678,10.12356115532932,10.9468240095,11.934927289227439,9.958720729772562,5.9124665895,6.591825465585331,5.233107713414669
810,11.372151234,12.4232427617885,10.3210597062115,11.4679677075,12.508920848245626,10.427014566754373,11.291854484947644,12.459800088969617,10.12390888092567,11.342882623,12.378712959188254,10.307052286811745,11.314570620500001,12.364419206543971,10.264722034456032,11.2108722755,12.225028602947724,10.196715948052276,5.97694079,6.7274972461014775,5.226384333898522
910,11.554806745,12.56266356802221,10.546949921977792,11.854762577999999,12.892546682093489,10.81697847390651,11.51774407787958,12.699174306799264,10.336313848959897,11.5603563925,12.573691281502214,10.547021503497785,11.458045311,12.473621880978994,10.442468741021004,11.312331003499999,12.30683151707031,10.317830489929687,6.150400244499999,6.842221333345345,5.458579155654653
1010,11.861647089,12.904724136304026,10.818570041695974,11.71551552,12.756625530385108,10.674405509614893,12.034714394237067,13.25466464990818,10.814764138565954,11.8436483665,12.888392024736465,10.798904708263535,11.645949624500002,12.685961528358696,10.605937720641307,11.575066407,12.618960964826499,10.5311718491735,6.127827134,6.791267784819457,5.464386483180544
1110,11.790977591999999,12.873762391860975,10.708192792139023,12.0805996765,13.197696686787586,10.963502666212415,12.081033371971184,13.376726214130734,10.785340529811634,11.879596965000001,12.965301844264497,10.793892085735505,11.920289937,13.024621508235917,10.815958365764082,11.827874516,12.920443233934144,10.735305798065855,6.4073724165,7.13670143883502,5.67804339416498
1210,12.1181979255,13.218345019983605,11.018050831016396,12.0484124545,13.137367012864212,10.959457896135786,12.385655924688932,13.666450277067447,11.104861572310416,12.193172094,13.284911867202648,11.10143232079735,12.053021287,13.145962274334892,10.960080299665108,12.0680195995,13.147771022794593,10.988268176205406,6.5407844635000005,7.30300803747309,5.778560889526911
