x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanDirInterferenceLie,upDirInterferenceLie,lowDirInterferenceLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanUserDirLie,upUserDirLie,lowUserDirLie
311,13060189.326,15374543.30681953,10745835.345180469,10299397.274,12264131.018598132,8334663.529401869,13060189.326,15374543.30681953,10745835.345180469,7300034.414,8844891.430532297,5755177.397467704
321,13243983.268,15589167.290768782,10898799.245231217,10641868.524,12659379.632937798,8624357.415062202,13243983.268,15589167.290768782,10898799.245231217,7514139.818,9098235.081408057,5930044.554591943
331,13502570.192,15928480.320396999,11076660.063603,10262111.844,12163161.77211526,8361061.915884741,13502570.192,15928480.320396999,11076660.063603,7408085.952,8978095.069812395,5838076.8341876045
341,13451646.672,15868500.195795301,11034793.1482047,10616822.124,12517217.810658555,8716426.437341444,13451646.672,15868500.195795301,11034793.1482047,7450912.614,8994957.563412499,5906867.664587501
351,13400406.472,15777636.417231519,11023176.52676848,10416379.938,12332988.308670625,8499771.567329373,13400406.472,15777636.417231519,11023176.52676848,7718171.234,9341649.472486302,6094692.995513698
361,13299405.41,15595748.513318496,11003062.306681504,10462392.464,12310286.74793035,8614498.18006965,13299405.41,15595748.513318496,11003062.306681504,7702736.334,9240306.971501524,6165165.696498476
371,12841735.702,15020062.076674059,10663409.32732594,10220805.67,12045268.00547352,8396343.33452648,12841735.702,15020062.076674059,10663409.32732594,7304989.63,8812349.924383877,5797629.335616123
381,12808031.698,15026108.286856286,10589955.109143715,10243372.26,12088424.21713706,8398320.30286294,12808031.698,15026108.286856286,10589955.109143715,7304668.316,8818898.091326144,5790438.540673855
391,13551540.972,15888678.982410196,11214402.961589802,10671347.714,12564487.982295059,8778207.44570494,13551540.972,15888678.982410196,11214402.961589802,7526482.636,9086796.133030627,5966169.138969373
401,13591304.486,15923907.397241855,11258701.574758144,10612623.888,12523708.652677033,8701539.123322967,13591304.486,15923907.397241855,11258701.574758144,7417084.934,9007693.110304631,5826476.75769537
411,13327742.964,15675577.42479827,10979908.503201729,10505582.202,12462591.307946462,8548573.096053537,13327742.964,15675577.42479827,10979908.503201729,7370400.572,8938404.518749965,5802396.625250035
421,13401728.378,15742546.983196318,11060909.772803683,10478400.042,12412740.8793776,8544059.204622399,13401728.378,15742546.983196318,11060909.772803683,7351037.636,8868724.487317173,5833350.784682827
431,13756698.456,16110901.480529323,11402495.431470677,10391257.724,12300835.398121217,8481680.049878782,13756698.456,16110901.480529323,11402495.431470677,6918503.642,8397664.69999851,5439342.584001491
441,14119110.6,16638900.089304302,11599321.110695697,10795234.104,12875929.719472166,8714538.488527834,14119110.6,16638900.089304302,11599321.110695697,7324355.83,8966507.335513797,5682204.3244862035
451,14287569.004,16870511.489873555,11704626.518126447,11236511.23,13535772.437662974,8937250.022337027,14287569.004,16870511.489873555,11704626.518126447,7649740.318,9498563.98717553,5800916.64882447
461,14565291.684,17093873.178232312,12036710.18976769,11351670.73,13587352.602320971,9115988.85767903,14565291.684,17093873.178232312,12036710.18976769,7594531.604,9415667.620748095,5773395.587251905
471,14388724.03,16838099.294702787,11939348.765297214,11362333.476,13472148.645365,9252518.306635,14388724.03,16838099.294702787,11939348.765297214,7427908.858,9084157.112728827,5771660.603271174
481,14049356.994,16362088.89317225,11736625.094827753,11106851.462,13092912.383776037,9120790.540223962,14049356.994,16362088.89317225,11736625.094827753,7111362.168,8587596.983277021,5635127.352722979
