x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
10,2.891632107,3.215966082882028,2.567298131117972,2.2944068430000004,2.5678632078116888,2.020950478188312
110,14.578852102,15.753505692406653,13.404198511593348,8.497339422,9.303110858618291,7.691567985381708
210,7.939474116,8.568567512785322,7.310380719214679,4.2129170855,4.606521772819653,3.819312398180348
310,10.5798250235,11.41937161820891,9.74027842879109,5.499368389500001,6.030496823041486,4.9682399559585155
410,12.6328335645,13.644923658168779,11.620743470831222,6.7457121825,7.439091362282949,6.052333002717051
510,13.4807843925,14.513625138147862,12.447943646852138,7.192638335,7.925929430954123,6.459347239045877
610,14.1672229035,15.266117045251354,13.068328761748647,7.4013457045,8.135126868178533,6.667564540821466
710,15.291702402,16.464341828379272,14.119062975620729,8.1039419095,8.935441195855093,7.272442623144906
810,16.0374946345,17.276998676829475,14.797990592170526,8.129910379,8.96177539555005,7.298045362449949
910,15.746581645500001,16.92860983512122,14.564553455878778,8.241971805999999,9.061290425917266,7.422653186082732
1010,16.201110542000002,17.441553242928595,14.960667841071407,8.1188771285,8.928161993764876,7.309592263235123
1110,16.0547595,17.304966647329657,14.80455235267034,8.449542408,9.302761646250012,7.596323169749986
1210,16.267432465,17.538042099200535,14.996822830799463,8.4038949705,9.262246636029062,7.545543304970937
1310,17.295837145,18.602761647697907,15.988912642302093,9.0750153395,9.959392488677521,8.19063819032248
1410,16.902951353,18.182322211944346,15.623580494055652,8.6114738965,9.46545091539496,7.757496877605039
1510,16.9590648695,18.208490099282475,15.709639639717524,8.8746182545,9.757960458461008,7.991276050538991
1610,16.217742363,17.458498537683553,14.976986188316445,8.4882333765,9.345969235498762,7.630497517501238
1710,16.329319665,17.557814980203833,15.100824349796167,8.385247208000001,9.2430843933228,7.527410022677202
1810,16.190854306,17.474803183368582,14.906905428631415,8.6176794785,9.533075925242768,7.70228303175723
1910,16.947826515,18.282388338976098,15.6132646910239,9.2485591475,10.27416130319555,8.22295699180445
2000,16.965986759499998,18.26759579756205,15.664377721437948,9.355241926500002,10.343919502712922,8.366564350287081
