x,meanSelectiveJam,upSelectiveJam,lowSelectiveJam,meanSinkhole,upSinkhole,lowSinkhole,meanNoByzantine,upNoByzantine,lowNoByzantine
10,0.10838938333333334,0.21080049980609683,0.005978266860569834,0.7087445166666667,1.448313912132571,-0.030824878799237676,0.7388984666666667,1.4995514849214158,-0.02175455158808226
110,0.38359798333333334,0.7487341037931933,0.0184618628734734,2.247871133333333,3.633969480140575,0.8617727865260916,2.459810566666667,4.22355608793109,0.6960650454022437
210,0.6060926833333333,1.4045212326626433,-0.19233586599597674,1.4304352166666665,2.6251705476646086,0.23569988566872424,1.5036500333333334,2.703005491929,0.3042945747376671
310,0.7686669666666666,1.5695566674263763,-0.032222734093043326,2.006778375,3.254162126978751,0.7593946230212489,2.061096183333333,3.364028150156182,0.7581642165104838
410,0.87278355,1.920776143872624,-0.17520904387262426,2.5952469750000002,3.9538795804031093,1.2366143695968912,2.800733483333333,4.321474470412996,1.2799924962536702
510,1.30315475,2.699478155053889,-0.09316865505388883,3.5478235583333335,5.65413728079923,1.4415098358674379,4.444412883333333,7.199815299534003,1.6890104671326638
610,1.1002839000000002,2.518148384803026,-0.31758058480302553,2.968584025,5.107835591302035,0.8293324586979653,4.048951316666667,7.275123916082727,0.8227787172506074
710,0.23475158333333335,0.4116449857594303,0.05785818090723635,2.493839375,4.370178076524227,0.6175006734757724,3.30043565,6.0271201119394355,0.5737511880605637
810,0.2225181,0.4047774563479266,0.04025874365207335,1.0647884833333334,1.9383477106660931,0.19122925600057372,1.5610538166666668,2.657102924820422,0.4650047085129112
910,0.9503834,1.8377349819912778,0.06303181800872226,1.7754726583333336,2.9287137906622505,0.6222315260044169,3.4514293166666667,5.734583739507488,1.1682748938258456
1000,0.48145469999999996,1.2475645504495276,-0.28465515044952777,1.4720967666666667,2.3010672588908543,0.6431262744424789,2.3098472666666665,4.0008288414104385,0.618865691922895
