x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanGreyhole,upGreyhole,lowGreyhole,meanSinkhole,upSinkhole,lowSinkhole,meanSelectiveJam,upSelectiveJam,lowSelectiveJam,meanPosSpoofing,upPosSpoofing,lowPosSpoofing,meanAllAttacks,upAllAttacks,lowAllAttacks
1,251134.33333333334,550029.315721877,-47760.64905521032,251134.33333333334,550029.315721877,-47760.64905521032,251134.33333333334,550029.315721877,-47760.64905521032,89384.6,189870.93975880902,-11101.73975880901,251134.33333333334,550029.315721877,-47760.64905521032,89384.6,189870.93975880902,-11101.73975880901
2,345202.26666666666,779838.0024818096,-89433.46914847626,334863.93333333335,769105.0186187044,-99377.1519520377,334943.61666666664,769217.4812054005,-99330.24787206727,89092.6,191808.39685418655,-13623.196854186535,345202.26666666666,779838.0024818096,-89433.46914847626,89092.6,191808.39685418655,-13623.196854186535
3,406462.0333333333,799911.1494653997,13012.917201266973,374585.88333333336,756667.337796332,-7495.571129665244,379160.1666666667,762326.9916337479,-4006.658300414507,142964.6,282248.19017181103,3681.0098281890096,406462.0333333333,799911.1494653997,13012.917201266973,142964.6,282248.19017181103,3681.0098281890096
4,494619.8333333333,978536.2158713955,10703.450795271085,453356.55,928399.5321587193,-21686.432158719283,480919.76666666666,958322.4689194984,3517.064413834887,161859.83333333334,321208.04629178916,2511.6203748775297,494619.8333333333,978536.2158713955,10703.450795271085,161859.83333333334,321208.04629178916,2511.6203748775297
5,535950.3333333334,1010905.687795052,60994.97887161479,485317.3333333333,936590.0620025354,34044.604664131184,527325.0666666667,991173.2638258899,63476.86950744339,172469.33333333334,343146.34567673656,1792.3209899301582,535950.3333333334,1010905.687795052,60994.97887161479,172469.33333333334,343146.34567673656,1792.3209899301582
6,612379.5333333333,1239636.0940232046,-14877.02735653799,570685.0,1179087.3344804142,-37717.33448041428,604796.3833333333,1228881.2673183777,-19288.500651711016,173010.63333333333,343196.06731039356,2825.1993562730786,612379.5333333333,1239636.0940232046,-14877.02735653799,173010.63333333333,343196.06731039356,2825.1993562730786
7,721378.8333333334,1475641.621238466,-32883.954571799026,680498.25,1419611.0745226913,-58614.57452269143,702874.9833333333,1450214.3784750858,-44464.41180841916,209855.93333333332,403922.21243758686,15789.654229079752,721378.8333333334,1475641.621238466,-32883.954571799026,209855.93333333332,403922.21243758686,15789.654229079752
8,867098.2333333333,1945871.9481971632,-211675.4815304965,836982.1666666666,1908411.63101921,-234447.29768587684,860360.1333333333,1938587.4106490987,-217867.14398243208,207959.46666666667,403726.9158804855,12192.017452847853,867098.2333333333,1945871.9481971632,-211675.4815304965,207959.46666666667,403726.9158804855,12192.017452847853
9,947367.5666666667,2305916.4147063866,-411181.2813730531,907214.5833333334,2240258.9421009826,-425829.7754343158,923289.7833333333,2250429.689819898,-403850.12315323146,121126.53333333334,286478.16329928266,-44225.096632616,947367.5666666667,2305916.4147063866,-411181.2813730531,121126.53333333334,286478.16329928266,-44225.096632616
10,957343.0,2316778.2371508935,-402092.23715089355,924341.4166666666,2262032.8438120177,-413350.01047868456,929729.7166666667,2244052.355710557,-384592.92237722396,134952.93333333332,318782.2207167083,-48876.35405004164,957343.0,2316778.2371508935,-402092.23715089355,134952.93333333332,318782.2207167083,-48876.35405004164
