x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
10,1.773421513,2.2085738344225616,1.3382691915774383,1.71062772,2.1455250511862443,1.2757303888137557
110,6.644349994000001,7.6535204832006665,5.635179504799335,6.03615232,7.008087669428955,5.064216970571046
210,3.21141507,3.7031654960539693,2.719664643946031,2.8110031810000002,3.2947493918075677,2.327256970192433
310,4.554861936,5.2674037827767135,3.8423200892232865,3.906329905,4.547443357329633,3.265216452670368
410,5.534532637,6.42639383949398,4.64267143450602,4.762702989,5.637278913504147,3.888127064495853
510,5.084631407,5.8765566364599335,4.292706177540066,4.316161826,5.056164597676987,3.5761590543230137
610,5.814967568,6.769941663951115,4.8599934720488855,5.028326068999999,5.906609158893316,4.150042979106683
710,6.52064782,7.655492512142165,5.385803127857835,6.052728686,7.214322690944576,4.891134681055424
810,6.426226703,7.446678460394763,5.405774945605238,5.493245804,6.519197124749764,4.467294483250235
910,7.19443436,8.239838807727596,6.149029912272404,6.043031957999999,7.069517307392849,5.0165466086071495
1010,6.8617743309999994,7.968173395000192,5.755375266999807,5.968348097,7.006030252830538,4.930665941169462
1110,7.0731277,8.298854021605939,5.84740137839406,5.677345824,6.715973814172251,4.638717833827748
1210,6.6001742409999995,7.691552730009184,5.508795751990815,5.5155579690000005,6.4889068770365075,4.5422090609634935
1310,7.038316081,8.135159524302669,5.941472637697331,5.996714167,7.095944684259726,4.897483649740275
1410,6.833762953000001,7.967517694744913,5.7000082112550885,5.668954439,6.712041028618943,4.625867849381057
1510,6.306520346999999,7.337907087321421,5.275133606678578,4.987358518,5.900672268450651,4.074044767549348
1610,5.875924812,6.835422788812846,4.9164268351871545,4.615941339,5.420900051376191,3.8109826266238085
1710,5.96462529,6.925339025278818,5.003911554721181,4.828958805999999,5.723899823413868,3.934017788586131
1810,6.07611143,7.203432798191621,4.9487900618083795,5.139567729,6.182739499837839,4.096395958162161
1910,6.773643064,8.041264752836486,5.506021375163512,5.4522487449999995,6.626456434234464,4.278041055765535
2000,6.8542677030000005,8.0330731247056,5.675462281294401,5.3987556670000005,6.430688455794101,4.3668228782059
