x,meanLearnedDirLie,upLearnedDirLie,lowLearnedDirLie,meanNoByzantine,upNoByzantine,lowNoByzantine,meanUserDirLie,upUserDirLie,lowUserDirLie
0,0.8075674350000001,0.9708902215420128,0.6442446484579873,,,,,,
100,2.5568694770000002,3.072292645109536,2.0414463088904644,6.40743232825,6.927883331357673,5.886981325142326,4.4900264155,4.89721429231976,4.08283853868024
200,0.7698645340000001,0.9435073030475556,0.5962217649524446,3.1965609585,3.451407689736604,2.9417142272633963,2.015702934,2.19210538346823,1.8393004845317704
300,0.6453912669999999,0.8094138826587538,0.481368651341246,4.4854744447499995,4.838161971995002,4.132786917504997,2.687049955,2.9189897651946275,2.4551101448053725
400,0.850872534,1.1037695375421215,0.5979755304578784,5.5850652105,6.041122116624995,5.129008304375005,3.39507026725,3.709209332253338,3.0809312022466617
500,0.9406924259999999,1.166369080086116,0.7150157719138838,5.93073972475,6.3941211289467335,5.467358320553267,3.55093180625,3.864648579059015,3.237215033440985
600,1.1852909500000002,1.4640298198600465,0.9065520801399537,6.163427746499999,6.66366542003289,5.663190072967108,3.76152530925,4.103454630545972,3.419595987954028
700,1.420435069,1.7924616953969585,1.0484084426030416,6.71837794725,7.265610722231133,6.171145172268866,4.10393880225,4.503184481497235,3.7046931230027647
800,1.277780557,1.6200041271085728,0.9355569868914272,6.82393180175,7.394369001432542,6.253494602067457,4.0605296965,4.467442935660145,3.6536164573398544
900,1.212116634,1.5345385072915652,0.8896947607084348,6.897582878500001,7.451930206430207,6.343235550569794,4.268835778,4.671678790087727,3.8659927659122726
1000,1.2814489610000002,1.6484634779431613,0.914434444056839,6.959768629999999,7.539286753228376,6.380250506771622,4.041591064,4.414788273116856,3.668393854883145
1100,1.289578832,1.5736672846711441,1.0054903793288557,6.824396859749999,7.41424484531954,6.234548874180459,4.16096116525,4.571805390028706,3.750116940471294
1200,1.4530661660000002,1.8090230662935625,1.0971092657064379,6.93323452725,7.534631397056458,6.3318376574435415,4.09788823525,4.5210496865915175,3.6747267839084823
1300,1.298101422,1.6486017565301345,0.9476010874698655,7.17971734275,7.7851245722256115,6.574310113274389,4.29437224675,4.728524543094689,3.860219950405311
1400,1.161975261,1.4603259539492057,0.8636245680507944,7.227639943,7.848074088698687,6.6072057973013125,4.1213399507499995,4.53529681744125,3.70738308405875
1500,1.159396909,1.4292218946846638,0.8895719233153363,7.07690173125,7.686777636319453,6.4670258261805476,4.1582994815,4.5916825722594625,3.724916390740538
1600,1.207345599,1.5347098546088869,0.879981343391113,6.821476348999999,7.4271436273255995,6.215809070674399,3.90746676675,4.30707138393694,3.50786214956306
1700,1.290159444,1.5988863758982224,0.9814325121017775,6.6177000457499995,7.191241688428854,6.044158403071145,3.6770163187500002,4.052352568164449,3.3016800693355512
1800,1.345735908,1.7013754039488314,0.9900964120511687,6.839934282500001,7.449626420283964,6.230242144716037,3.7889626979999997,4.183416251525631,3.3945091444743682
1900,1.459247867,1.7981544773402,1.1203412566597999,7.303890112,7.963657042984984,6.644123181015017,4.1764007985,4.623347283224976,3.7294543137750233
2000,,,,7.312678313249999,7.948512234133453,6.6768443923665455,4.2056500895,4.666280931623961,3.745019247376039
