x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanAllObsAttacks,upAllObsAttacks,lowAllObsAttacks,meanCapacityLie,upCapacityLie,lowCapacityLie,meanCapacityDeflate,upCapacityDeflate,lowCapacityDeflate,meanDemandLie,upDemandLie,lowDemandLie,meanDemandDeflate,upDemandDeflate,lowDemandDeflate,meanDirInterferenceLie,upDirInterferenceLie,lowDirInterferenceLie,meanInterferenceAmplifyfalsealarm,upInterferenceAmplifyfalsealarm,lowInterferenceAmplifyfalsealarm,meanInterferenceLiehide,upInterferenceLiehide,lowInterferenceLiehide,meanObsNoise,upObsNoise,lowObsNoise,meanObsReplay,upObsReplay,lowObsReplay,meanUserDirLie,upUserDirLie,lowUserDirLie
10,1.581467536,1.9122191990194517,1.250715872980548,0.6698135333333333,1.2407881672766568,0.09883889939000978,0.7089434333333333,1.3140584261973038,0.1038284404693629,0.7100124333333333,1.3201600312695607,0.099864835397106,0.7066767666666667,1.3119526493738634,0.10140088395946989,0.6985938833333333,1.2965073172881791,0.10068044937848741,0.5664992833333333,1.0997461749775834,0.03325239168908323,0.6989143166666667,1.2971153813103626,0.10071325202297077,0.6989143166666667,1.2971153813103626,0.10071325202297077,0.7219304666666666,1.3321973200310644,0.11166361330226882,0.6989143166666667,1.2971153813103626,0.10071325202297077,1.219197277,1.4819627110373423,0.9564318429626575
110,6.351154404,7.366737871547757,5.335570936452243,3.43903565,5.927391024614243,0.9506802753857571,5.7314522666666665,10.169502425896109,1.2934021074372248,5.348032416666666,9.588620385211724,1.1074444481216084,5.510119833333333,9.748489403823395,1.2717502628432715,5.312439049999999,9.284560935681375,1.3403171643186238,4.328494083333334,7.214495466839712,1.442492699826956,5.319916500000001,9.29797956065348,1.341853439346521,5.319916500000001,9.29797956065348,1.341853439346521,3.3398689,5.695912454958798,0.9838253450412027,5.319916500000001,9.29797956065348,1.341853439346521,4.7531631029999994,5.522762728554822,3.983563477445177
210,3.216070295,3.746484311529242,2.6856562784707583,0.6027436333333333,0.9409357802025269,0.2645514864641397,2.0603241,3.87841485985306,0.24223334014693987,2.6097798,4.694665390010535,0.5248942099894651,2.181066616666667,4.067211653326276,0.2949215800070577,2.259202316666667,4.154823525341026,0.36358110799230703,1.264188,2.7127793485421456,-0.18440334854214524,2.1728431833333333,4.058132474235121,0.2875538924315453,2.495133816666667,4.510095998672596,0.48017163466073765,0.9084135999999999,1.55686970351879,0.2599574964812099,2.5198101,4.436344349144381,0.6032758508556191,2.390841833,2.7883134196129697,1.9933702463870304
310,4.858575506999999,5.701555295399107,4.015595718600892,6.016851616666667,9.25245989749714,2.7812433358361948,6.745403116666667,10.144770279945114,3.3460359533882196,6.397138283333334,9.552896228455483,3.2413803382111848,7.482633216666667,12.000507995040518,2.964758438292816,7.599298583333334,12.3300711464371,2.8685260202295684,4.675925383333333,7.5386003678155635,1.8132503988511033,7.4589695166666665,11.999136054713292,2.9188029786200413,7.609213766666667,12.320360328957687,2.8980672043756472,6.361205183333333,10.910464625569489,1.811945741097177,6.2633893,9.57336284735839,2.9534157526416105,3.149730433,3.686316384042086,2.6131444819579146
410,5.8812859500000005,6.814495713911695,4.948076186088306,4.1702344,6.822704444640326,1.5177643553596742,6.884856316666667,10.854717596827836,2.9149950365054984,6.939929083333333,11.076494440448938,2.8033637262177287,7.24252675,11.45938987133574,3.02566362866426,7.246026266666666,11.471330274264119,3.0207222590692124,3.1348234,5.33010796078466,0.9395388392153405,7.229443683333333,11.448005958771978,3.010881407894688,6.914078616666667,10.913823501633546,2.914333731699788,4.91520505,8.452165939440057,1.3782441605599431,5.445305816666666,8.465601732291447,2.425009901041886,3.706396092,4.325716287088982,3.087075896911018
510,6.511794011,7.481145621598875,5.542442400401125,6.3850370666666665,11.397730904593864,1.37234322873947,9.444854083333333,15.450503527027518,3.439204639639148,9.478953866666666,15.397917933875348,3.559989799457983,9.149533850000001,15.014485615380279,3.284582084619723,9.152360633333332,15.016963512839169,3.2877577538274965,4.723270933333334,8.770985197199074,0.6755566694675936,9.15296375,15.019108679840743,3.2868188201592563,9.746241416666667,15.689419993643371,3.8030628396899626,7.644081549999999,13.386203232933118,1.9019598670668802,8.216301716666667,13.60356266834534,2.8290407649879947,4.025282521,4.676332559480359,3.3742324825196413
610,6.281961511,7.234273660997024,5.329649361002977,5.059060483333334,8.84470123279724,1.2734197338694284,6.4721557,11.291766797762449,1.652544602237552,6.96940805,11.8987673844119,2.0400487155880986,5.851775433333333,10.252383588233126,1.4511672784335383,6.050778083333333,10.52219946141124,1.5793567052554263,4.3365266,8.190691656016138,0.48236154398386066,5.958146266666666,10.239794172456513,1.6764983608768196,6.586504116666666,11.341361693884995,1.8316465394483386,5.6860913166666665,10.111066160071084,1.2611164732622484,6.149989866666667,10.919496293976655,1.380483439356679,3.922968596,4.552629742827593,3.2933074491724073
710,6.346362665,7.3607524700945035,5.3319728599054965,5.582580666666667,9.558750301604011,1.6064110317293223,6.70303905,11.111157184882886,2.294920915117114,7.006383166666667,11.429509981211275,2.583256352122058,6.260036533333333,10.420209908878526,2.0998631577881417,6.183521833333333,10.318411166622088,2.048632500044577,4.4533157999999995,8.26377991556365,0.6428516844363505,6.038548583333334,10.061422698280591,2.015674468386078,6.827924516666667,11.153509103195933,2.502339930137402,5.089791750000001,8.879129424753097,1.3004540752469045,6.079670516666667,10.188792933332635,1.9705481000006992,3.7163207120000004,4.359359909096456,3.073281514903544
810,6.5367445790000005,7.557881115298553,5.515608042701448,5.113364533333334,8.326376570309918,1.9003524963567484,5.2650905,8.157820753190393,2.3723602468096088,6.7401198,10.770016233438168,2.7102233665618325,6.29894975,10.490641503091837,2.1072579969081646,5.64170935,9.18210363306033,2.1013150669396716,3.9081395999999997,6.570831196024412,1.2454480039755875,5.803102783333333,9.363076648601746,2.2431289180649205,6.582857683333334,10.880028591999867,2.2856867746667993,4.845747200000001,7.963976209977115,1.7275181900228858,4.780643183333334,8.110145562747835,1.4511408039188316,4.316286762,5.096034630803481,3.5365388931965183
910,6.462903526,7.509699564622682,5.416107487377317,5.688026733333333,9.667093420196462,1.7089600464702057,8.083768883333333,12.706684174091595,3.46085359257507,7.889504716666666,12.40126271673827,3.3777467165950616,7.6582701,12.431601589947759,2.8849386100522416,7.633796616666666,12.381946010492733,2.885647222840599,4.716734349999999,7.699883327102098,1.7335853728979012,7.6434785666666665,12.394705816326997,2.8922513170063358,7.696753683333333,12.435737783285333,2.9577695833813333,5.807540633333333,9.855679048143742,1.759402218522923,6.457923533333333,10.775942231013527,2.13990483565314,4.378110727,5.215120283159761,3.541101170840239
