x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLiehide,upInterferenceLiehide,lowInterferenceLiehide,meanObsNoise,upObsNoise,lowObsNoise,meanObsReplay,upObsReplay,lowObsReplay,meanUserDirLie,upUserDirLie,lowUserDirLie
10,2.150096587,2.609904904308159,1.6902882696918415,2.1362615959999998,2.599512064715227,1.673011127284772,2.157059834,2.61885433151347,1.69526533648653,2.150096587,2.609904904308159,1.6902882696918415,1.497993441,1.8228196144000162,1.1731672675999838,2.150096587,2.609904904308159,1.6902882696918415,1.557625458,1.8782168070601999,1.2370341089398
110,9.937908001,11.230198083370675,8.645617918629325,10.021214402,11.307215475913399,8.735213328086601,9.915514656,11.200339309113719,8.63069000288628,9.937908001,11.230198083370675,8.645617918629325,7.024297776,8.070747242337212,5.977848309662787,9.937908001,11.230198083370675,8.645617918629325,5.27243659,6.065241239259004,4.479631940740996
210,12.218802296,13.768774917321432,10.668829674678568,12.360429446,13.928897750908725,10.791961141091274,12.240917590999999,13.796042721839054,10.685792460160943,12.218802296,13.768774917321432,10.668829674678568,10.637030766,12.084985591420288,9.189075940579713,12.383137595,13.91930031062204,10.846974879377962,6.797245768,7.8923923770739135,5.702099158926086
310,12.68638769,14.29862203046987,11.07415334953013,12.938756713999998,14.541400728556173,11.336112699443824,12.738893448,14.339049004243819,11.138737891756183,12.68638769,14.29862203046987,11.07415334953013,11.472477883,12.851829238548206,10.093126527451794,10.31207972,11.69101585612635,8.93314358387365,7.323952741,8.441774356571061,6.206131125428939
410,13.329772220999999,14.969994308243063,11.689550133756935,13.27178684,14.908275714450012,11.63529796554999,13.546989202,15.21625069915776,11.877727704842242,13.329772220999999,14.969994308243063,11.689550133756935,13.007535526,14.608747402426253,11.406323649573746,11.109901996000001,12.52241908326561,9.697384908734392,7.220740602,8.285410324139686,6.156070879860314
510,13.570247923,15.235482242521488,11.905013603478512,13.664494150000001,15.339504321832043,11.989483978167959,13.700360092999999,15.397404590843026,12.003315595156971,13.570247923,15.235482242521488,11.905013603478512,13.695968373,15.299022319645667,12.092914426354332,10.206888375,11.55308878605885,8.86068796394115,7.617694515,8.70250498136784,6.532884048632161
610,14.005318443,15.710487496185797,12.300149389814203,14.245484152,15.995227344292687,12.495740959707312,14.100395382999999,15.82385983150382,12.376930934496178,14.005318443,15.710487496185797,12.300149389814203,14.260920916000002,15.983922542610152,12.537919289389851,10.589035441,12.037502358855761,9.140568523144239,7.706065868,8.788433958631824,6.623697777368175
710,14.827786971,16.590590007012096,13.064983934987904,15.195164831,17.029959415833606,13.360370246166394,14.802459268,16.57272628115726,13.032192254842741,14.827786971,16.590590007012096,13.064983934987904,14.595321688,16.35599975139728,12.834643624602721,11.797484773,13.34987769515144,10.245091850848562,8.137239473,9.294149178034438,6.980329767965562
810,14.160659232,15.911333579105671,12.40998488489433,14.505889525,16.25129304000578,12.76048600999422,14.165166386000001,15.908570187822447,12.421762584177555,14.160659232,15.911333579105671,12.40998488489433,13.928422523,15.638680999546866,12.218164046453134,11.15538891,12.68982529802152,9.620952521978479,7.805651119999999,8.939870237641967,6.6714320023580305
910,14.711453224000001,16.474389825750723,12.94851662224928,14.588996413,16.30980951182622,12.86818331417378,14.573581227,16.293737194807893,12.853425259192107,14.711453224000001,16.474389825750723,12.94851662224928,13.966268433,15.62203334786982,12.31050351813018,11.249323999,12.72297143041843,9.77567656758157,8.247165689,9.384627560314186,7.109703817685812
1010,14.710265716,16.48674681302281,12.933784618977194,14.980286379999999,16.756621673654426,13.203951086345572,14.854080054,16.622590607077647,13.085569500922354,14.710265716,16.48674681302281,12.933784618977194,15.046648744,16.884465552705862,13.208831935294139,11.748491342,13.239830050434076,10.257152633565923,7.993792452,9.09175006968447,6.895834834315529
1110,15.061819727,16.971242665279092,13.152396788720909,15.271766957,17.23329931610273,13.310234597897269,15.168821906,17.08952972593672,13.248114086063278,15.061819727,16.971242665279092,13.152396788720909,15.004105152,16.932358389143968,13.075851914856031,11.786808974,13.471847785325814,10.101770162674185,8.375961733,9.718731675878582,7.033191790121419
1210,14.45298459,16.26556323414604,12.640405945853958,14.130934241999999,15.91109604588714,12.350772438112857,14.484182845,16.267332958614706,12.701032731385295,14.45298459,16.26556323414604,12.640405945853958,14.479933144999999,16.2488950852673,12.710971204732697,11.739124540999999,13.325806964819158,10.15244211718084,8.376441327,9.678472854464918,7.074409799535083
1310,14.908912276,16.722683124327244,13.095141427672758,15.062576741,16.876480853778336,13.248672628221668,14.978332928,16.787395337108336,13.169270518891665,14.908912276,16.722683124327244,13.095141427672758,15.283276943999999,17.152234035395864,13.414319852604134,12.193869502,13.772147498185717,10.615591505814283,8.890602433,10.228582709589134,7.552622156410866
